value,Class_Names,Histogram
152,Shrubland,2055476945
176,Grassland/Pasture,1487375741
142,Evergreen Forest,1095790441
141,Deciduous Forest,898426874
1,Corn,436724585
190,Woody Wetlands,399522619
5,Soybeans,378259420
143,Mixed Forest,262136713
121,Developed/Open Space,239756338
111,Open Water,154958265
122,Developed/Low Intensity,153410743
24,Winter Wheat,135218228
195,Herbaceous Wetlands,121995660
37,Other Hay/Non Alfalfa,121571517
123,Developed/Med Intensity,92700486
36,Alfalfa,89171242
131,Barren,86718957
61,Fallow/Idle Cropland,70660074
23,Spring Wheat,58810534
2,Cotton,53083290
4,Sorghum,42802358
124,Developed/High Intensity,33082773
26,Dbl Crop WinWht/Soybeans,20440254
3,Rice,13562262
21,Barley,12759035
31,Canola,10735366
75,Almonds,8424681
10,Peanuts,7707767
28,Oats,7669676
22,Durum Wheat,7016917
42,Dry Beans,5464136
45,Sugarcane,5355350
59,Sod/Grass Seed,5338563
6,Sunflower,5310285
53,Peas,4892561
41,Sugarbeets,4844750
69,Grapes,4818459
43,Potatoes,4788379
29,Millet,4290628
205,Triticale,3410909
204,Pistachios,3298982
27,Rye,3258718
212,Oranges,2935734
236,Dbl Crop WinWht/Sorghum,2921212
52,Lentils,2373871
92,Aquaculture,2365792
76,Walnuts,2241418
74,Pecans,2162981
68,Apples,2068559
72,Citrus,1830282
51,Chick Peas,1747380
54,Tomatoes,1440810
225,Dbl Crop WinWht/Corn,1351639
238,Dbl Crop WinWht/Cotton,1293600
12,Sweet Corn,1270677
66,Cherries,1122421
228,Dbl Crop Triticale/Corn,1101540
242,Blueberries,1023501
35,Mustard,971403
71,Other Tree Crops,896520
13,Pop or Orn Corn,866047
112,Perennial Ice/Snow,807715
210,Prunes,795698
33,Safflower,749373
58,Clover/Wildflowers,695082
32,Flaxseed,678299
49,Onions,641872
11,Tobacco,521014
46,Sweet Potatoes,491514
67,Peaches,436779
56,Hops,345076
70,Christmas Trees,319243
44,Other Crops,305761
57,Herbs,301155
211,Olives,300549
226,Dbl Crop Oats/Corn,289577
206,Carrots,234553
77,Pears ,233979
14,Mint,222537
215,Avocados,217518
254,Dbl Crop Barley/Soybeans,210883
38,Camelina,202182
208,Garlic,178610
227,Lettuce,169759
50,Cucumbers,164285
48,Watermelons,163504
47,Misc Vegs & Fruits,156466
219,Greens,149475
217,Pomegranates,147488
229,Pumpkins,133712
223,Apricots,125504
237,Dbl Crop Barley/Corn,123876
243,Cabbage,113242
39,Buckwheat,112994
221,Strawberries,92206
220,Plums,90930
240,Dbl Crop Soybeans/Oats,89908
222,Squash,83855
214,Broccoli,78784
216,Peppers,76636
55,Caneberries,64975
209,Cantaloupes,49838
250,Cranberries,48234
232,Dbl Crop Lettuce/Cotton,40204
231,Dbl Crop Lettuce/Cantaloupe,37998
233,Dbl Crop Lettuce/Barley,31796
25,Other Small Grains,28978
60,Switchgrass,27379
247,Turnips,25168
241,Dbl Crop Corn/Soybeans,18351
30,Speltz,16867
246,Radishes,16553
213,Honeydew Melons,14832
218,Nectarines,13281
244,Cauliflower,11353
245,Celery,8270
34,Rape Seed,7552
224,Vetch,5288
207,Asparagus,4973
249,Gourds,3708
248,Eggplants,3479
235,Dbl Crop Barley/Sorghum,671
