huc12,tohuc,name,areasqkm,states,sum,area_sqkm
050902030501,050902030505,Tub Creek-Laughery Creek,63.03,IN,15192.0556640625,37.98013916015625
050800030602,050800030604,Clear Fork,40.98,IN,4619.83544921875,11.549588623046875
050800030801,050800030802,Headwaters Blue Creek,47.39,IN,5791.3974609375,14.47849365234375
051202010101,051202010102,Owl Creek-White River,54.63,IN,17430.78125,43.576953125
050902030301,050902030303,Turkey Run-East Fork Tanners Creek,41.07,IN,5451.85498046875,13.629637451171876
050902030302,050902030304,West Fork Tanners Creek,97.69,IN,3332.561279296875,8.331403198242187
050902030304,050902030802,Salt Fork-Tanners Creek,75.79,IN,288.9103698730469,0.7222759246826171
051202070301,051202070302,Long Branch-Otter Creek,81.26,IN,14987.0888671875,37.46772216796875
050902030502,050902030505,Little Laughery Creek,71.15,IN,9561.0888671875,23.90272216796875
050902030503,050902030504,Headwaters Ripley Creek,48.64,IN,6379.21533203125,15.948038330078125
051202010102,051202010103,Peach Creek-White River,74.02,IN,20628.546875,51.5713671875
050902030802,050902030804,Taylor Creek-Ohio River,70.97,"IN,KY",733.4417724609375,1.8336044311523438
050902030506,050902030507,Jericho Creek-Laughery Creek,64.99,IN,7669.98193359375,19.174954833984376
050902030507,050902030601,Henderson Bend-Laughery Creek,64.61,IN,6798.11474609375,16.995286865234377
051202010104,051202010105,Cabin Creek,66.62,IN,18884.580078125,47.2114501953125
051202010106,051202010107,Little White River,58.37,IN,17855.59375,44.638984375
051201010904,051201011102,Pleasant Run Ditch-Eightmile Creek,62.42,IN,15046.103515625,37.6152587890625
051202010107,051202010109,Little Stoney Creek-Stoney Creek,76.29,IN,22498.9296875,56.24732421875
051202080103,051202080104,Prow Hollow-Twin Creek,49.85,IN,3713.872314453125,9.284680786132812
051201010801,051201010802,Johns Creek-Wabash River,65.98,IN,18205.416015625,45.5135400390625
050902030601,050902030604,Raccoon Creek-Laughery Creek,83.62,IN,5963.04052734375,14.907601318359376
051201010601,051201010602,Jamstutz Ditch-Wabash River,78.54,IN,20219.65625,50.549140625
051201010602,051201010604,Threemile Creek-Wabash River,40.73,IN,13084.3076171875,32.71076904296875
051201010901,051201010902,Maple Creek-Eightmile Creek,50.18,IN,17320.412109375,43.3010302734375
051201130903,051201130904,Grassy Slough-Levy Slough,57.46,"IL,IN",12762.103515625,31.9052587890625
051201010902,051201010903,Moser Lake-Eightmile Creek,53.12,IN,15889.166015625,39.7229150390625
051201130901,051201130902,Pitcher Creek-Wabash River,62.71,"IL,IN",13247.865234375,33.1196630859375
051201130902,051201130903,Sandy Slough-Wabash River,67.26,"IL,IN",12397.076171875,30.9926904296875
051201130904,051402020705,Willow Pond Slough-Wabash River,120.58,"IL,IN",28043.8359375,70.10958984375
051402020705,051402030102,Sibley Creek-Ohio River,162,"IL,IN,KY",29553.328125,73.8833203125
051202090301,051202090303,Green Creek-Hunley Creek,71.89,IN,13218.0693359375,33.04517333984375
051202090601,051202090603,Cup Creek,45.9,IN,2130.203125,5.3255078125
051201011003,051201011004,Robinson Creek,45.09,IN,11208.501953125,28.0212548828125
040500011602,040500011604,Winebrenner Branch-Carrol Creek,49.8,IN,11195.5341796875,27.98883544921875
040500011604,040500011605,Muncie Lake-South Branch Elkhart River,42.67,IN,6370.86328125,15.927158203125
040500011701,040500011702,Village Lake-Turkey Creek,41.02,IN,9833.94140625,24.584853515625
040500011702,040500011704,Lake Wawasee-Turkey Creek,57.58,IN,5628.86279296875,14.072156982421875
051202090801,051202090804,Keg Creek,58.69,IN,12064.6689453125,30.16167236328125
051202090803,051202090804,Lost Creek,42.86,IN,11415.453125,28.5386328125
041000030706,041000030707,Willow Creek,82.5,IN,14913.0830078125,37.28270751953125
040500011703,040500011705,Wabee Lake-Hammond Ditch,39.47,IN,8496.0498046875,21.24012451171875
040500011705,040500011707,Coppes Ditch-Turkey Creek,57.78,IN,18160.849609375,45.4021240234375
051401040704,051401040706,Mill Creek,54.26,IN,8419.7822265625,21.04945556640625
051401040701,051401040703,Headwaters West Fork Blue River,50.82,IN,8131.84765625,20.329619140625
051401040703,051401040706,Highland Creek-West Fork Blue River,80.43,IN,8993.2890625,22.48322265625
051402010404,051402010405,Blackhawk Creek-Anderson River,80.37,IN,6106.244140625,15.2656103515625
051402010907,051402010908,Barren Fork,85.24,IN,10119.9765625,25.29994140625
041000040605,041000040606,Sly Run Creek,39.71,IN,1058.697021484375,2.6467425537109377
041000030805,041000030806,Ely Run-Saint Joseph River,73.06,IN,4646.2470703125,11.61561767578125
051402020604,051402020605,McFadden Creek,52.84,IN,16066.123046875,40.1653076171875
051402020105,051402020107,Headwaters Smith Fork,59.39,IN,11582.64453125,28.956611328125
041000040606,041000050102,Junk Ditch-Saint Marys River,48.27,IN,202.95004272460938,0.5073751068115234
051402020301,051402020302,Headwaters Bluegrass Creek,46.32,IN,8589.767578125,21.4744189453125
051402020303,051402020306,Little Pigeon Creek,45.26,IN,1362.0814208984375,3.405203552246094
051402020305,051402020306,Locust Creek,19.87,IN,1253.9901123046875,3.1349752807617186
041000030806,041000050102,Becketts Run-Saint Joseph River,53.38,IN,665.85992431640625,1.6646498107910157
050800030104,050800030108,Little Creek-Whitewater River,77.48,IN,15697.181640625,39.2429541015625
050800030102,050800030107,Jordan Creek-Martindale Creek,84.67,IN,21673.23828125,54.183095703125
050800030103,050800030108,Nettle Creek,53.89,IN,10966.587890625,27.4164697265625
041000040602,041000040604,Simmerman Ditch-Saint Marys River,55.56,IN,14785.5498046875,36.96387451171875
051201130706,051201130707,Headwaters Little Creek,78.6,IN,10760.123046875,26.9003076171875
041000040501,041000040502,Holthouse Ditch,89.37,IN,27951.291015625,69.8782275390625
051201130302,051201130304,McCarty Ditch-Coffee Bayou,90.62,IN,13119.3984375,32.79849609375
051201130701,051201130702,Pond Flat Ditch,84.11,IN,24271.755859375,60.6793896484375
051201130709,051201130805,Indian Creek-Big Creek,123.47,IN,31735.259765625,79.3381494140625
051202070802,051202070803,Elk Creek,70.01,IN,5223.2119140625,13.05802978515625
051201040102,051201040103,Mud Run-Blue River,54.78,IN,12963.072265625,32.4076806640625
050800030105,050800030108,Symonds Creek,57.96,IN,15949.1005859375,39.87275146484375
041000040503,041000040504,Nickelsen Creek,65.84,IN,21577.701171875,53.9442529296875
050800030106,050800030108,Symons Creek,81.21,IN,22872.18359375,57.180458984375
051202080101,051202080103,Rush Creek,64,IN,2878.9970703125,7.19749267578125
050800030201,050800030202,Little Mud Creek-Mud Creek,45.66,IN,14455.7958984375,36.13948974609375
050800030202,050800030203,Copy Run-Greens Fork,84.56,IN,23282.197265625,58.2054931640625
051201040101,051201040102,Headwaters Blue River,54.35,IN,9136.59375,22.841484375
051201040202,051201040203,Johnson Drain-Eel River,63.92,IN,15976.298828125,39.9407470703125
050800020907,050902030204,Doublelick Run-Great Miami River,42.04,"IN,OH",2478.621826171875,6.196554565429688
041000040403,041000040405,Headwaters Blue Creek,63.86,IN,21381.703125,53.4542578125
