huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
050902030501,050902030505,Tub Creek-Laughery Creek,63.03,IN,6785.18017578125,7107.18017578125,6457.18017578125,6615.18017578125,6281.18017578125,8803.1796875,9119.1796875,8979.1796875,8803.1796875,8739.1796875,8823.1796875
050800030602,050800030604,Clear Fork,40.98,IN,1038,1038,546,722,3894,3912,3906,3748,3584,3208,3208
050800030801,050800030802,Headwaters Blue Creek,47.39,IN,864.0386962890625,680.0386962890625,524.0386962890625,524.0386962890625,50.0387077331543,50.0387077331543,44.0387077331543,44.0387077331543,38.0387077331543,0,0
051202010101,051202010102,Owl Creek-White River,54.63,IN,2836,2830,2660,2648,2648,2490,2490,2490,2496,2508,2508
050902030301,050902030303,Turkey Run-East Fork Tanners Creek,41.07,IN,24,18,18,18,18,0,0,6,6,6,6
050902030302,050902030304,West Fork Tanners Creek,97.69,IN,796,796,948,790,790,632,316,316,316,316,316
050902030304,050902030802,Salt Fork-Tanners Creek,75.79,IN,0,0,0,0,0,0,0,0,0,0,0
051202070301,051202070302,Long Branch-Otter Creek,81.26,IN,22730.8203125,23520.8203125,23604.8203125,23514.8203125,18990.8203125,20698.8203125,24016.8203125,23226.8203125,23220.8203125,24416.8203125,22892.8203125
050902030502,050902030505,Little Laughery Creek,71.15,IN,8126,8144,8156,8138,8148.4208984375,8780.4208984375,36302.421875,35834.421875,35032.421875,34996.421875,34940.421875
050902030503,050902030504,Headwaters Ripley Creek,48.64,IN,4747.21484375,4813.21484375,4672.18896484375,4813.21484375,5591.21484375,5251.21484375,5913.21484375,5875.1552734375,5875.1552734375,6844,6928
051202010102,051202010103,Peach Creek-White River,74.02,IN,3824,3818,4440,3854,3860,3872,4188,4188,4182,4182,4182
050902030802,050902030804,Taylor Creek-Ohio River,70.97,"IN,KY",0,0,0,0,0,0,0,0,0,0,0
050902030506,050902030507,Jericho Creek-Laughery Creek,64.99,IN,1256,1256,1262,946,1102,470,476,476,476,470,470
050902030507,050902030601,Henderson Bend-Laughery Creek,64.61,IN,2890,2702,2598,2434,1954,1954,1638,1954,1638,1638,1624
051202010104,051202010105,Cabin Creek,66.62,IN,6038.50927734375,6196.50927734375,5406.50927734375,6196.50927734375,5540.50927734375,5636.50927734375,4366,4208,4020,4020,4020
051202010106,051202010107,Little White River,58.37,IN,12727.5791015625,18323.578125,13723.5791015625,12855.5791015625,12661.5791015625,12673.5791015625,12655.5791015625,12135,12141,12093,12093
051201010904,051201011102,Pleasant Run Ditch-Eightmile Creek,62.42,IN,5594.3486328125,5030.3486328125,5104.3486328125,5030.18798828125,4952.18798828125,5583.50732421875,5213.50732421875,5051.4736328125,5050,5529.50732421875,5529.50732421875
051202010107,051202010109,Little Stoney Creek-Stoney Creek,76.29,IN,6438,5532,5678,5520,5976,5806,4056,4068,4554,4232,4390
051202080103,051202080104,Prow Hollow-Twin Creek,49.85,IN,224,224,230,224,224,2232,2232,2232,2232,2232,2226
051201010801,051201010802,Johns Creek-Wabash River,65.98,IN,1556,1544,1714,1538,1854,1953.37451171875,2263.37451171875,2105.37451171875,2105.37451171875,2099.37451171875,2099.37451171875
050902030601,050902030604,Raccoon Creek-Laughery Creek,83.62,IN,2031.570068359375,2547.570068359375,3883.570068359375,4589.56982421875,29453.5703125,29465.5703125,29307.5703125,29471.5703125,29471.5703125,30309.5703125,29835.5703125
051201010601,051201010602,Jamstutz Ditch-Wabash River,78.54,IN,10189.1650390625,10117.1650390625,9622.884765625,9700.6787109375,10428.6787109375,11359.91015625,11047.91015625,11023.91015625,11123.23046875,10321.23046875,10655.23046875
051201010602,051201010604,Threemile Creek-Wabash River,40.73,IN,1077.4195556640625,877.4195556640625,847.61138916015625,877.4195556640625,877.4195556640625,3830.185546875,3830.185546875,4784.185546875,4340.76611328125,4340.76611328125,4340.76611328125
051201010901,051201010902,Maple Creek-Eightmile Creek,50.18,IN,2082,2082,1628,2082,2276,2276,2750,2240,2064,2085.389892578125,2085.389892578125
051201130903,051201130904,Grassy Slough-Levy Slough,57.46,"IL,IN",15204.9443359375,15204.9443359375,14724.9443359375,13243.6484375,12605.673828125,12947.123046875,12941.123046875,4635.15576171875,4635.15576171875,4635.15576171875,4635.15576171875
051201010902,051201010903,Moser Lake-Eightmile Creek,53.12,IN,4158,4146,3442,3162,3180,2932,2598,2592,2610,2926,3242
051201130901,051201130902,Pitcher Creek-Wabash River,62.71,"IL,IN",13510.5517578125,12674.5517578125,10280.5517578125,9352.5517578125,8936.5517578125,8776.5517578125,8776.5517578125,8752.5517578125,8752.5517578125,8332.5517578125,8332.5517578125
